,Rank,Country,Year,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,City,Region,Process,Clean_and_clear,Balance_cup,Transparent_cup,Creamy_body,Big_body,Long_aftertaste,Roasted_flavor,Spices_flavor,NuttyCocoa_flavor,Sweet_flavor,Floral_flavor,Fruity_flavor,GreenVegetative_flavor,Winey_flavor,Malic_acidity,Citric_acidity,Tartaric_acidity,Lactic_acidity,Complex_acidity,geisha,pacamara,catuai,caturra,bourbon,typica,sl-28,sl-34,colombia,74112,74110,74158,mixed_variety
0,1,Indonesia,2021,89.28,Pantan Musara,80.0,37037.6,Wataru for YAMATOYA COFFEE,Dilen Ali Gogo,1650.0,,,honey,0,0,0,0,0,1,0,2,1,3,1,12,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,Indonesia,2021,89.04,Ibun Ita,65.2,26735.91,Proud Mary Coffee Roasters,Ita Rosita,1480.0,,,natural,0,0,0,1,0,0,0,1,5,6,0,13,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,Indonesia,2021,88.89,Pantan Musara,69.1,39912.85,Terarosa (Haksan Co. Ltd),Roberto Bagus Syahputra,1700.0,,,washed,0,0,0,0,0,0,0,1,2,1,3,14,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,Indonesia,2021,88.75,Ijen Lestari,35.2,27860.8,SUPREMO COFFEE,Dandy Darmawan,1550.0,,,natural,0,0,0,0,0,0,0,2,3,4,0,13,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,5,Indonesia,2021,88.58,Ibun Yudi,25.1,11399.17,Latorre&Dutch (China) for Cut Hand Group（剁手咖啡群）/ Gee Coffee,Yudi,1350.0,,,natural,0,0,0,0,0,0,0,0,3,1,4,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Indonesia,2021,88.49,Koperasi Koerintji Barokah,21.7,9855.06,"MARISSTELLA COFFEE, INTELLIGENTSIA, RYANS COFFEE ROASTERS",Triyono,1450.0,,,honey,0,0,0,0,1,0,0,0,3,3,3,15,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,Indonesia,2021,88.46,Avatara Gayo,45.2,21723.57,Blue Bottle Coffee,Drs Hamdan,1700.0,,,natural,0,0,0,0,0,0,0,0,0,3,5,18,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
7,8,Indonesia,2021,88.3,Kamojang,19.2,8592.77,"MUSEO Co., Ltd. // wondumyungga cafe de Jura alacarte // liike coffee",Ahmad Vansyu,1300.0,,,washed,1,0,0,1,0,0,0,2,4,5,2,9,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,9,Indonesia,2021,88.25,Topidi,24.3,10125.08,"Orsir Coffee Co., Ltd.",Daeng Halim,1428.0,,,washed,0,0,0,0,0,0,0,0,2,4,1,11,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
9,10,Indonesia,2021,88.15,Lereng Gunung Argopuro Krucil,24.2,10350.34,Herd Coffee Roaster. CARA Instant Coffee. Beska Beans. Mokka Coffee Roaster. Alliance for Coffee Excellence. Coffee Cherry. Coffee Drxx & Bean2Cup,Dinul Haq Sabyli,1200.0,,,natural,0,0,0,0,0,0,0,2,4,3,1,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,11,Indonesia,2021,88.14,Topidi,18.6,8611.24,"Wataru & Co., Ltd.",Daeng Balengkang,1376.0,,,natural,0,0,0,0,0,0,0,2,2,5,3,10,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,12,Indonesia,2021,88.05,PT Sulotco Jaya Abadi,19.3,8935.32,"Tashiro Coffee Co., Ltd",Samuel Karundeng,1550.0,,,washed,0,0,0,0,0,0,0,2,5,6,2,8,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
